44M2.3,c,95.7,Alpha and beta proteins (a/b) 
44M2.3,d,94.7,Alpha and beta proteins (a+b) 
A1BG,b,85.0,All beta proteins 
A1CF--ACF--ASP,d,98.3,Alpha and beta proteins (a+b) 
A2M--CPAMD5--FWP007,a,87.0,All alpha proteins 
A2M--CPAMD5--FWP007,b,99.8,All beta proteins 
A2ML1--CPAMD9,b,99.9,All beta proteins 
A2ML1--CPAMD9,a,90.4,All alpha proteins 
A4GALT--A14GALT--A4GALT1,c,87.6,Alpha and beta proteins (a/b) 
A4GNT,c,84.1,Alpha and beta proteins (a/b) 
AAAS--ADRACALA--GL003,b,95.6,All beta proteins 
AACS--ACSF1,e,100.0,Multi-domain proteins (alpha and beta) 
AADAC--DAC,c,84.9,Alpha and beta proteins (a/b) 
AADACL2,c,90.8,Alpha and beta proteins (a/b) 
AADACL3,c,85.4,Alpha and beta proteins (a/b) 
AADACL4,c,89.9,Alpha and beta proteins (a/b) 
AADAT--KAT2,c,96.0,Alpha and beta proteins (a/b) 
AAED1--C9orf21,c,81.7,Alpha and beta proteins (a/b) 
AAGAB,c,80.8,Alpha and beta proteins (a/b) 
AAK1--KIAA1048,d,91.7,Alpha and beta proteins (a+b) 
AAMDC--C11orf67--PTD015,c,81.5,Alpha and beta proteins (a/b) 
AAMP,b,98.6,All beta proteins 
AANAT--SNAT,d,93.8,Alpha and beta proteins (a+b) 
AARS2--AARSL--KIAA1270,a,100.0,All alpha proteins 
AARS2--AARSL--KIAA1270,d,97.1,Alpha and beta proteins (a+b) 
AARS2--AARSL--KIAA1270,b,97.7,All beta proteins 
AARS,b,81.6,All beta proteins 
AARS,d,97.6,Alpha and beta proteins (a+b) 
AARS,a,100.0,All alpha proteins 
AARSD1,d,95.0,Alpha and beta proteins (a+b) 
AARSD1,b,98.6,All beta proteins 
AASDH--ACSF4--U26--HSPC318,b,95.6,All beta proteins 
AASDH--ACSF4--U26--HSPC318,a,80.6,All alpha proteins 
AASDH--ACSF4--U26--HSPC318,e,100.0,Multi-domain proteins (alpha and beta) 
AASDHPPT--CGI-80--HAH-P--HSPC223--x0005,d,99.4,Alpha and beta proteins (a+b) 
AASS,c,81.7,Alpha and beta proteins (a/b) 
AASS,d,100.0,Alpha and beta proteins (a+b) 
AATK--AATYK--KIAA0641--LMR1--LMTK1,d,99.4,Alpha and beta proteins (a+b) 
ABAT--GABAT,c,84.2,Alpha and beta proteins (a/b) 
ABCA10,c,95.0,Alpha and beta proteins (a/b) 
ABCA11P--ABCA11,c,96.3,Alpha and beta proteins (a/b) 
ABCA12--ABC12,c,93.8,Alpha and beta proteins (a/b) 
ABCA13,c,92.5,Alpha and beta proteins (a/b) 
ABCA1--ABC1--CERP,c,93.2,Alpha and beta proteins (a/b) 
ABCA2--ABC2--KIAA1062,c,93.5,Alpha and beta proteins (a/b) 
ABCA3--ABC3,c,94.2,Alpha and beta proteins (a/b) 
ABCA4--ABCR,c,95.0,Alpha and beta proteins (a/b) 
ABCA5--KIAA1888,c,95.6,Alpha and beta proteins (a/b) 
ABCA6,c,95.2,Alpha and beta proteins (a/b) 
ABCA7,c,93.0,Alpha and beta proteins (a/b) 
ABCA8--KIAA0822,c,95.2,Alpha and beta proteins (a/b) 
ABCA9,c,95.7,Alpha and beta proteins (a/b) 
ABCB10,c,96.9,Alpha and beta proteins (a/b) 
ABCB10,f,99.9,Membrane and cell surface proteins and peptides 
ABCB11--BSEP,c,95.2,Alpha and beta proteins (a/b) 
ABCB11--BSEP,f,99.6,Membrane and cell surface proteins and peptides 
ABCB1--MDR1--PGY1,c,96.1,Alpha and beta proteins (a/b) 
ABCB1--MDR1--PGY1,f,99.7,Membrane and cell surface proteins and peptides 
ABCB4--MDR3--PGY3,c,96.1,Alpha and beta proteins (a/b) 
ABCB4--MDR3--PGY3,f,99.6,Membrane and cell surface proteins and peptides 
ABCB5,f,99.5,Membrane and cell surface proteins and peptides 
ABCB5,c,95.6,Alpha and beta proteins (a/b) 
ABCB6--MTABC3--PRP--UMAT,c,96.7,Alpha and beta proteins (a/b) 
ABCB6--MTABC3--PRP--UMAT,f,99.7,Membrane and cell surface proteins and peptides 
ABCB7--ABC7,c,95.6,Alpha and beta proteins (a/b) 
ABCB7--ABC7,f,99.6,Membrane and cell surface proteins and peptides 
ABCB8--MABC1,c,95.4,Alpha and beta proteins (a/b) 
ABCB8--MABC1,f,99.9,Membrane and cell surface proteins and peptides 
ABCB9--KIAA1520,c,95.9,Alpha and beta proteins (a/b) 
ABCB9--KIAA1520,f,99.9,Membrane and cell surface proteins and peptides 
ABCC10--MRP7--SIMRP7,c,95.1,Alpha and beta proteins (a/b) 
ABCC10--MRP7--SIMRP7,f,98.6,Membrane and cell surface proteins and peptides 
ABCC11--MRP8,c,95.5,Alpha and beta proteins (a/b) 
ABCC11--MRP8,f,98.2,Membrane and cell surface proteins and peptides 
ABCC12--MRP9,c,95.4,Alpha and beta proteins (a/b) 
ABCC12--MRP9,f,98.5,Membrane and cell surface proteins and peptides 
ABCC13--C21orf73--PRED6,f,90.8,Membrane and cell surface proteins and peptides 
ABCC1--MRP--MRP1,c,95.0,Alpha and beta proteins (a/b) 
ABCC1--MRP--MRP1,f,99.0,Membrane and cell surface proteins and peptides 
ABCC2--CMOAT--CMOAT1--CMRP--MRP2,c,95.8,Alpha and beta proteins (a/b) 
ABCC2--CMOAT--CMOAT1--CMRP--MRP2,f,99.1,Membrane and cell surface proteins and peptides 
ABCC3--CMOAT2--MLP2--MRP3,c,95.3,Alpha and beta proteins (a/b) 
ABCC3--CMOAT2--MLP2--MRP3,f,99.0,Membrane and cell surface proteins and peptides 
ABCC4--MRP4,c,95.7,Alpha and beta proteins (a/b) 
ABCC4--MRP4,f,99.2,Membrane and cell surface proteins and peptides 
ABCC5--MRP5,c,95.3,Alpha and beta proteins (a/b) 
ABCC5--MRP5,f,98.3,Membrane and cell surface proteins and peptides 
ABCC6--ARA--MRP6,c,95.1,Alpha and beta proteins (a/b) 
ABCC6--ARA--MRP6,f,98.0,Membrane and cell surface proteins and peptides 
ABCC8--HRINS--SUR--SUR1,c,95.4,Alpha and beta proteins (a/b) 
ABCC8--HRINS--SUR--SUR1,f,99.1,Membrane and cell surface proteins and peptides 
ABCC9--SUR2,c,94.6,Alpha and beta proteins (a/b) 
ABCC9--SUR2,f,98.5,Membrane and cell surface proteins and peptides 
ABCD1--ALD,c,95.4,Alpha and beta proteins (a/b) 
ABCD2--ALD1--ALDL1--ALDR--ALDRP,c,95.3,Alpha and beta proteins (a/b) 
ABCD3--PMP70--PXMP1,c,95.5,Alpha and beta proteins (a/b) 
ABCD4--PXMP1L,c,95.8,Alpha and beta proteins (a/b) 
ABCD4--PXMP1L,f,95.3,Membrane and cell surface proteins and peptides 
ABCF1--ABC50,c,96.7,Alpha and beta proteins (a/b) 
ABCF2--HUSSY-18,c,96.4,Alpha and beta proteins (a/b) 
ABCF3,c,96.1,Alpha and beta proteins (a/b) 
ABCG1--ABC8--WHT1,c,95.7,Alpha and beta proteins (a/b) 
ABCG2--ABCP--BCRP--BCRP1--MXR,c,95.4,Alpha and beta proteins (a/b) 
ABCG4--WHITE2,c,95.8,Alpha and beta proteins (a/b) 
