4,1-3-glucuronyltransferase 
8,14-3-3 protein 
1,1-4-beta-N-acetylmuraminidase 
2,14 kDa protein of cytochrome bc1 complex (Ubiquinol-cytochrome c reductase) 
22,2-3-Bisphosphoglycerate-independent phosphoglycerate mutase- catalytic domain 
5,2-3-Bisphosphoglycerate-independent phosphoglycerate mutase- substrate-binding domain 
1,2-3-cyclic nucleotide 3-phosphodiesterase- catalytic domain 
6,2-5-oligoadenylate synthetase 1- OAS1- N-terminal domain 
4,2-5-oligoadenylate synthetase 1- OAS1- second domain 
5,2-5 RNA ligase LigT 
111,2-6-dihydropseudooxynicotine hydrolase-like 
259,28-residue LRR 
20,2Fe-2S ferredoxin domains from multidomain proteins 
11,2Fe-2S ferredoxin-related 
1,2-methylcitrate dehydratase PrpD 
193,3-carboxy-cis-cis-mucoante lactonizing enzyme 
5,3-demethylubiquinone-9 3-methyltransferase 
4,3-hydroxyanthranilic acid dioxygenase-like 
1,3-methyladenine DNA glycosylase (AAG- ANPG- MPG) 
8,3-Methyladenine DNA glycosylase III (MagIII) 
1,3-Methyladenine DNA glycosylase I (Tag) 
1,4-alpha-glucanotransferase- C-terminal domain 
1,4-alpha-glucanotransferase- domain 2 
5,4-alpha-glucanotransferase- N-terminal domain 
6,4-(cytidine 5-diphospho)-2C-methyl-D-erythritol kinase IspE 
15,4HBT-like 
7,4-oxalocrotonate tautomerase-like 
7,4-Phosphopantetheinyl transferase SFP 
16,53BP1 
14,5(3)-deoxyribonucleotidase (dNT-2) 
3,5-aminolaevulinate dehydratase- ALAD (porphobilinogen synthase) 
1,5-carboxymethyl-2-hydroxymuconate isomerase (CHMI) 
8,5 nucleotidase-like 
1,5-nucleotidase (syn. UDP-sugar hydrolase)- C-terminal domain 
19,5-nucleotidase (syn. UDP-sugar hydrolase)- N-terminal domain 
17,5 to 3 exonuclease catalytic domain 
17,5 to 3 exonuclease- C-terminal subdomain 
2,6-hydroxymethyl-7-8-dihydropterin pyrophosphokinase- HPPK 
429,6-phosphofructo-2-kinase/fructose-2-6-bisphosphatase- kinase domain 
16,6-phosphofructo-2-kinase/fructose-2-6-bisphosphatase- phosphatase domain 
185,6-phosphogluconate dehydrogenase-like- N-terminal domain 
3,6-pyruvoyl tetrahydropterin synthase 
11,7-Fe ferredoxin 
24,A20-like zinc finger 
1,A4 beta-galactosidase middle domain 
1,AadK N-terminal domain-like 
87,AAT-like 
12,ABC-transporter additional domain 
577,ABC transporter ATPase domain-like 
26,ABC transporter transmembrane region 
3,AbfB domain 
2,AbrB N-terminal domain-like 
1,Accessory protein X4 (ORF8- ORF7a) 
4,ACDE2-like 
1,Acetohydroxy acid isomeroreductase (ketol-acid reductoisomerase- KARI) 
5,Acetokinase-like 
2,Acetylacetone-cleaving enzyme-like 
67,Acetylcholinesterase-like 
37,Acetyl-CoA synthetase-like 
12,Acetylhydrolase 
104,Acetyl xylan esterase-like 
10,Achaeal helicase C-terminal domain 
7,Acireductone dioxygenase 
122,Aclacinomycin methylesterase RdmC 
1,Aconitase B- N-terminal domain 
4,Aconitase iron-sulfur domain 
3,Actin-fragmin kinase- catalytic domain 
83,Actin/HSP70 
